error,eyelike_max_normalized_error,eyelike_mean_normalized_error,eyelike_min_normalized_error,gaze_max_normalized_error,gaze_mean_normalized_error,gaze_min_normalized_error,Timm2011
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0033003300330033004,0.011221122112211221,0.06996699669966996,0.011221122112211221,0.053465346534653464,0.18811881188118812,
0.02,0.02574257425742574,0.05412541254125412,0.1848184818481848,0.12673267326732673,0.2495049504950495,0.42442244224422443,
0.03,0.09636963696369637,0.1834983498349835,0.3940594059405941,0.37491749174917494,0.5610561056105611,0.765016501650165,
0.04,0.20726072607260726,0.35313531353135313,0.5702970297029702,0.6079207920792079,0.761056105610561,0.8930693069306931,
0.05,0.35445544554455444,0.524092409240924,0.7023102310231023,0.7636963696369637,0.8699669966996699,0.9491749174917492,0.825
0.06,0.4877887788778878,0.6567656765676567,0.805940594059406,0.8501650165016502,0.9115511551155115,0.976897689768977,
0.07,0.6231023102310231,0.7465346534653465,0.8805280528052806,0.8871287128712871,0.9326732673267327,0.9828382838283828,
0.08,0.7201320132013201,0.807920792079208,0.9181518151815181,0.9115511551155115,0.9445544554455445,0.9861386138613861,
0.09,0.7795379537953795,0.8462046204620463,0.9458745874587459,0.9234323432343234,0.9570957095709571,0.9887788778877887,
0.1,0.8283828382838284,0.8633663366336634,0.9597359735973597,0.9372937293729373,0.9630363036303631,0.9907590759075907,0.934
0.11,0.8495049504950495,0.8759075907590759,0.9650165016501651,0.9438943894389439,0.970957095709571,0.9920792079207921,
0.12,0.862046204620462,0.8851485148514852,0.9696369636963696,0.9485148514851485,0.9775577557755776,0.994059405940594,
0.13,0.8719471947194719,0.8917491749174917,0.9716171617161716,0.9537953795379538,0.9834983498349835,0.9947194719471947,
0.14,0.8759075907590759,0.904950495049505,0.972937293729373,0.9603960396039604,0.9881188118811881,0.9953795379537954,
0.15,0.8818481848184818,0.9141914191419142,0.9742574257425742,0.9617161716171617,0.9920792079207921,0.9966996699669967,0.952
0.16,0.8831683168316832,0.9247524752475248,0.9755775577557756,0.966996699669967,0.9966996699669967,0.9973597359735974,
0.17,0.8871287128712871,0.9366336633663367,0.9755775577557756,0.9702970297029703,0.9973597359735974,0.998019801980198,
0.18,0.8897689768976897,0.9504950495049505,0.9762376237623762,0.9735973597359736,0.998019801980198,0.9986798679867986,
0.19,0.8930693069306931,0.9617161716171617,0.976897689768977,0.974917491749175,0.9986798679867986,0.9993399339933994,
0.2,0.8963696369636963,0.9676567656765677,0.976897689768977,0.9795379537953796,1.0,1.0,0.964
0.21,0.897029702970297,0.9702970297029703,0.9775577557755776,0.9867986798679867,1.0,1.0,
0.22,0.899009900990099,0.974917491749175,0.9801980198019802,0.9874587458745875,1.0,1.0,
0.23,0.9042904290429042,0.9775577557755776,0.9821782178217822,0.9894389438943895,1.0,1.0,
0.24,0.9108910891089109,0.9801980198019802,0.9854785478547855,0.9920792079207921,1.0,1.0,
0.25,0.9188118811881189,0.9821782178217822,0.9874587458745875,0.9947194719471947,1.0,1.0,0.98
